Location,Area_sqft,BHK,Bathrooms,Floor,Total_Floors,Age_of_Property,Parking,Lift,Actual_Price,Price_per_sqft
Airoli,1004.67,2.0,1.0,2.0,5.0,15.4,1,0,13067904.0,13007.160560183942
Ulwe,780.03,3.0,3.0,26.0,38.0,7.2,0,0,15339739.0,19665.575682986553
Ulwe,1287.54,2.0,3.0,16.0,35.0,10.4,1,0,19454778.0,15110.037746400112
Panvel,841.04,4.0,3.0,14.0,34.0,15.4,1,1,14367262.0,17082.733282602494
Kharghar,814.31,4.0,4.0,7.0,34.0,1.9,0,0,15050510.0,18482.53122275301
Ulwe,708.41,3.0,3.0,9.0,16.0,8.5,1,0,11466200.0,16185.824593102865
Kharghar,1008.33,2.0,2.0,22.0,34.0,11.5,0,0,16340732.0,16205.73820078744
Airoli,413.57,3.0,3.0,34.0,35.0,12.5,1,1,7439508.0,17988.50980486979
Ghansoli,950.21,4.0,2.0,8.0,22.0,11.6,1,0,14703069.0,15473.494280211742
Nerul,786.08,2.0,2.0,34.0,20.0,12.7,0,0,12290414.0,15635.067677590067
Ulwe,1272.85,2.0,2.0,0.0,36.0,2.2,0,1,20996596.0,16495.734768433045
Belapur,1302.96,2.0,3.0,24.0,18.0,14.2,0,0,20181316.0,15488.822373672254
Cbd Belapur,698.38,1.0,3.0,28.0,9.0,7.3,0,1,9440668.0,13517.952976889374
Ulwe,535.1,2.0,1.0,26.0,23.0,6.9,0,1,6880420.0,12858.194729957017
Panvel,717.33,2.0,2.0,0.0,27.0,1.9,1,0,8417872.0,11735.006203560424
Nerul,942.66,1.0,2.0,15.0,34.0,4.1,0,0,12074384.0,12808.843061124902
Ghansoli,628.02,2.0,2.0,34.0,17.0,10.4,0,0,6142680.0,9781.026081971911
Kharghar,1188.83,2.0,3.0,20.0,37.0,1.2,1,1,16944488.0,14253.079077748711
Nerul,699.6,2.0,3.0,1.0,12.0,5.7,1,1,7884780.0,11270.41166380789
Nerul,163.78,1.0,2.0,3.0,20.0,20.0,1,0,2613405.0,15956.80180730248
Airoli,351.54,3.0,2.0,25.0,8.0,2.5,0,0,6316538.0,17968.191386470957
Vashi,1100.6,2.0,2.0,11.0,9.0,6.4,1,0,16630868.0,15110.728693439944
Vashi,1525.78,2.0,3.0,28.0,13.0,5.2,0,1,24426717.0,16009.330965145697
Airoli,160.79,1.0,4.0,0.0,9.0,13.8,1,1,3019558.0,18779.51365134648
Nerul,1294.73,2.0,3.0,21.0,20.0,0.5,0,0,18505432.0,14292.888864859855
Cbd Belapur,662.61,2.0,4.0,9.0,34.0,4.5,1,0,8503987.0,12834.075851556723
Belapur,1272.24,3.0,3.0,22.0,21.0,8.5,0,1,14325813.0,11260.307017543859
Nerul,834.01,2.0,3.0,21.0,13.0,3.0,1,0,10743096.0,12881.255620436206
Kharghar,1279.64,2.0,3.0,17.0,26.0,7.0,0,0,22829962.0,17840.925572817352
Belapur,1609.79,2.0,1.0,3.0,24.0,14.4,1,0,24456626.0,15192.432553314407
Panvel,1263.62,3.0,3.0,27.0,20.0,10.2,0,0,22376808.0,17708.494642376667
Kharghar,4598.47,2.0,3.0,28.0,20.0,12.0,0,0,73192702.0,15916.751006312968
Panvel,763.3,2.0,3.0,21.0,12.0,0.9,1,1,8187523.0,10726.481069042316
Kharghar,3962.94,3.0,1.0,2.0,9.0,9.1,0,0,49391176.0,12463.266160981493
Airoli,586.13,1.0,1.0,0.0,13.0,5.3,1,0,6497022.0,11084.609216385443
Belapur,1184.84,4.0,2.0,20.0,5.0,1.2,1,0,12513789.0,10561.585530535769
Nerul,252.27,4.0,2.0,11.0,26.0,11.5,1,1,4327021.0,17152.340746026082
Kharghar,999.63,3.0,1.0,6.0,5.0,0.4,1,0,17433573.0,17440.025809549534
Ghansoli,4550.06,2.0,2.0,4.0,10.0,1.6,0,0,64376894.0,14148.581337388956
Panvel,2980.99,3.0,1.0,23.0,17.0,4.9,0,1,45066556.0,15117.982951972332
Airoli,1512.55,2.0,3.0,12.0,31.0,0.6,1,1,14852173.0,9819.293907639418
Belapur,996.47,3.0,3.0,3.0,32.0,2.9,0,1,18763967.0,18830.43844772045
Ulwe,1323.2,3.0,1.0,11.0,35.0,10.5,0,0,25983033.0,19636.512243047157
Ulwe,390.37,4.0,1.0,17.0,28.0,1.1,0,0,8338332.0,21360.073776161076
Kharghar,1350.42,2.0,2.0,10.0,24.0,8.2,0,1,17945384.0,13288.742761511232
Kharghar,1497.88,2.0,4.0,6.0,11.0,1.1,0,0,23965990.0,15999.939915079978
Cbd Belapur,298.11,4.0,4.0,27.0,10.0,11.3,1,1,5878853.0,19720.415282949245
Nerul,848.34,2.0,4.0,12.0,3.0,2.2,0,1,11679458.0,13767.425796260932
Kharghar,1578.86,4.0,3.0,15.0,9.0,14.1,1,1,17439165.0,11045.415679667609
